frame_id,timestamp,image_file,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az,throttle,brake,steer,gear
1,10.538476,frame_000001.png,222.425232,-371.153198,-0.009028,0.030848,-0.064791,0.257401,7.985475,0.024309,-0.000011,0.798377,-0.128912,9.795415,0.562897,0.000000,-0.003052,1
2,10.638476,frame_000002.png,222.826401,-371.151917,-0.009196,0.029267,-0.020053,0.203664,8.034164,0.020662,-0.000010,0.966562,-0.008457,9.805911,0.498980,0.000000,-0.003301,1
3,10.688476,frame_000003.png,223.229843,-371.150879,-0.009347,0.025441,0.020340,0.201809,8.077968,0.019890,-0.000008,0.903057,-0.127528,9.816506,0.428623,0.000000,-0.001849,1
4,10.738476,frame_000004.png,223.635040,-371.149811,-0.009461,0.021710,0.050728,0.157425,8.109794,0.016961,-0.000009,0.718805,0.034327,9.824213,0.365756,0.000000,-0.002344,1
5,10.788476,frame_000005.png,224.041260,-371.148987,-0.009525,0.017048,0.067878,0.163988,8.126533,0.016986,-0.000009,0.421329,-0.114098,9.829310,0.320488,0.000000,-0.001017,1
6,10.838476,frame_000006.png,224.447754,-371.148041,-0.009538,0.013480,0.071307,0.126667,8.128186,0.014854,-0.000007,0.112323,0.037466,9.830339,0.297094,0.000000,-0.001577,1
7,10.888476,frame_000007.png,224.853806,-371.147247,-0.009507,0.009301,0.062886,0.140399,8.117640,0.015827,-0.000006,-0.149336,-0.051203,9.827741,0.295438,0.000000,-0.000262,1
8,10.938476,frame_000008.png,225.259018,-371.146393,-0.009445,0.007138,0.046138,0.107704,8.098848,0.013274,-0.000003,-0.342052,0.019434,9.822748,0.311210,0.000000,-0.001380,1
9,10.988476,frame_000009.png,225.663086,-371.145721,-0.009367,0.004829,0.025279,0.124506,8.076537,0.014218,0.000001,-0.445842,-0.079849,9.816432,0.338680,0.000000,-0.000151,1
10,11.038476,frame_000010.png,226.066071,-371.144958,-0.009289,0.003653,0.004419,0.094702,8.054814,0.012630,0.000002,-0.439144,0.060102,9.810145,0.370988,0.000000,-0.000890,1
